X,Y,Name,description,altitudeMode,STATUS,SYSTEMSTOP,OWLROUTES,CITY,POS,CROSS_ST,PUBLIC_NAME,SHAPE,STREET,POINT_X,POINT_Y,ROUTESSTPG,DIR,Field_1
-87.846407001,41.974865,East River Rd & Berwyn,,clampToGround,In Service,"8590",,CHICAGO,NS,BERWYN,"East River Rd &amp; Berwyn",Point,EAST RIVER RD,"-87.846407","41.974865",81W,NB,"East River Rd &amp; Berwyn"
-87.839027804,41.983679541,Cumberland Blue Line Station,,clampToGround,In Service,"14143",,CHICAGO,TERM,BLUE LINE STATION,Cumberland Blue Line Station,Point,CUMBERLAND,"-87.839028","41.98368",81W,SWB,Cumberland Blue Line Station
-87.836432974,41.966699853,Lawrence & Cumberland,,clampToGround,In Service,"9751",,NORRIDGE,NS,CUMBERLAND,"Lawrence &amp; Cumberland",Point,LAWRENCE,"-87.836433","41.9667",81W,WB,"Lawrence &amp; Cumberland"
-87.836836999,41.97382,Cumberland & Foster,,clampToGround,In Service,"8566",,NORRIDGE,NS,FOSTER,"Cumberland &amp; Foster",Point,CUMBERLAND,"-87.836837","41.97382",81W,SB,"Cumberland &amp; Foster"
-87.61958276,41.838494588,31st Street & Giles,,clampToGround,In Service,"7504",,CHICAGO,FT,GILES,"31st Street &amp; Giles",Point,31ST STREET,"-87.619583","41.838495","31",WB,"31st Street &amp; Giles"
-87.562839514,41.758963717,75th Street & Kingston,,clampToGround,In Service,"10960",N5,CHICAGO,NS,KINGSTON (east leg),"75th Street &amp; Kingston",Point,75TH STREET,"-87.56284","41.758964","N5,75",EB,"75th Street &amp; Kingston"
-87.836540999,41.975598,Cumberland & Berwyn,,clampToGround,In Service,"8565",,CHICAGO,NS,BERWYN,"Cumberland &amp; Berwyn",Point,CUMBERLAND,"-87.836541","41.975598",81W,NB,"Cumberland &amp; Berwyn"
-87.826597781,41.966930633,Lawrence & Canfield,,clampToGround,In Service,"9747",,NORRIDGE,NS,CANFIELD,"Lawrence &amp; Canfield",Point,LAWRENCE,"-87.826598","41.966931",81W,WB,"Lawrence &amp; Canfield"
-87.826196343,41.937822371,Belmont & Pacific (80th Avenue),,clampToGround,In Service,"9358",,CHICAGO,NS,PACIFIC (80TH AVENUE),"Belmont &amp; Pacific (80th Avenue)",Point,BELMONT,"-87.826196","41.937822","77",WB,"Belmont &amp; Pacific (80th Avenue)"
-87.82374345,41.937890656,Belmont & Orange (79th Avenue),,clampToGround,In Service,"9357",,CHICAGO,NS,ORANGE (79TH AVENUE),"Belmont &amp; Orange (79th Avenue)",Point,BELMONT,"-87.823743","41.937891","77",WB,"Belmont &amp; Orange (79th Avenue)"
-87.828707348,41.937767364,Belmont & Panama,,clampToGround,In Service,"9359",,CHICAGO,NS,PANAMA,"Belmont &amp; Panama",Point,BELMONT,"-87.828707","41.937767","77",WB,"Belmont &amp; Panama"
-87.819706001,41.945169001,Addison & Overhill,,clampToGround,In Service,"12472",,CHICAGO,NS,OVERHILL,"Addison &amp; Overhill",Point,ADDISON,"-87.819706","41.945169","152",EB,"Addison &amp; Overhill"
-87.804944922,41.888828174,Harlem & Lake,,clampToGround,In Service,"15700",,OAK PARK,FS,LAKE,"Harlem &amp; Lake",Point,HARLEM,"-87.804945","41.888828","90,307,318",NB,"Harlem &amp; Lake"
-87.805476411,41.906940957,Harlem & Lemoyne,,clampToGround,In Service,"15709",,OAK PARK,NS,LEMOYNE,"Harlem &amp; Lemoyne",Point,HARLEM,"-87.805476","41.906941","90,307,318",NB,"Harlem &amp; Lemoyne"
-87.806609001,41.936282001,Harlem & Barry,,clampToGround,In Service,"11802",,CHICAGO,NS,BARRY,"Harlem &amp; Barry",Point,HARLEM,"-87.806609","41.936282","90",NB,"Harlem &amp; Barry"
-87.807090676,41.965398573,Harlem & Leland,,clampToGround,In Service,"11818",,HARWOOD HEIGHTS,NT,LELAND,"Harlem &amp; Leland",Point,HARLEM,"-87.807091","41.965399","90",NB,"Harlem &amp; Leland"
-87.804744884,41.980545581,Higgins & Montclare,,clampToGround,In Service,"9861",,CHICAGO,NS,MONTCLARE,"Higgins &amp; Montclare",Point,HIGGINS,"-87.804745","41.980546","88",SEB,"Higgins &amp; Montclare"
-87.800897798,41.774982335,Harlem & 64th Place,,clampToGround,In Service,"14175",,BEDFORD PARK,TERM,64TH PLACE,"Harlem &amp; 64th Place",Point,(old) HARLEM,"-87.800898","41.774982","63W,165",SEB,"Harlem &amp; 64th Place"
-87.797505512,41.923663498,Grand & New England,,clampToGround,In Service,"842",,CHICAGO,NS,NEW ENGLAND (west leg),"Grand &amp; New England",Point,GRAND,"-87.797506","41.923664","65,74",WB,"Grand &amp; New England"
-87.800038498,41.968383277,Gunnison & New England,,clampToGround,In Service,"9736",,HARWOOD HEIGHTS,NS,NEW ENGLAND,"Gunnison &amp; New England",Point,GUNNISON,"-87.800038","41.968383",81W,WB,"Gunnison &amp; New England"
-87.795104313,41.968426508,Gunnison & Rutherford,,clampToGround,In Service,"9734",,HARWOOD HEIGHTS,NS,RUTHERFORD,"Gunnison &amp; Rutherford",Point,GUNNISON,"-87.795104","41.968427",81W,WB,"Gunnison &amp; Rutherford"
-87.786571117,41.792365851,Archer & Nashville,,clampToGround,In Service,"4536",,CHICAGO,NS,NASHVILLE,"Archer &amp; Nashville",Point,ARCHER,"-87.786571","41.792366","62,62H",WB,"Archer &amp; Nashville"
-87.787606132,41.986203387,Nagle & Northwest Hwy,,clampToGround,In Service,"16034",,CHICAGO,FS,NORTHWEST HWY,"Nagle &amp; Northwest Hwy",Point,NAGLE,"-87.787606","41.986203","86",NB,"Nagle &amp; Northwest Hwy"
-87.784254227,41.960311019,Montrose & Mobile,,clampToGround,In Service,"11418",,CHICAGO,NS,MOBILE,"Montrose &amp; Mobile",Point,MONTROSE,"-87.784254","41.960311","78",WB,"Montrose &amp; Mobile"
-87.781134992,41.938323322,Belmont & Melvina,,clampToGround,In Service,"9246",N77,CHICAGO,NS,MELVINA,"Belmont &amp; Melvina",Point,BELMONT,"-87.781135","41.938323","77",EB,"Belmont &amp; Melvina"
-87.77549268,41.903691286,Austin & Berkshire/Potomac,,clampToGround,In Service,"9592",,OAK PARK,FS,BERKSHIRE/POTOMAC,"Austin &amp; Berkshire/Potomac",Point,AUSTIN,"-87.775493","41.903691","91",SB,"Austin &amp; Berkshire/Potomac"
-87.775764999,41.92739,Austin & Wrightwood,,clampToGround,In Service,"9651",,CHICAGO,NS,WRIGHTWOOD,"Austin &amp; Wrightwood",Point,AUSTIN,"-87.775765","41.92739","91",NB,"Austin &amp; Wrightwood"
-87.776642321,41.953154892,Irving Park & Austin,,clampToGround,In Service,"5730",,CHICAGO,NS,AUSTIN,"Irving Park &amp; Austin",Point,IRVING PARK,"-87.776642","41.953155","80",WB,"Irving Park &amp; Austin"
-87.777242,41.964972,Austin & Eastwood,,clampToGround,In Service,"9558",,CHICAGO,NT,EASTWOOD (south leg),"Austin &amp; Eastwood",Point,AUSTIN,"-87.777242","41.964972","91",SB,"Austin &amp; Eastwood"
-87.773917932,41.850769954,Cermak & Austin,,clampToGround,In Service,"6979",,CICERO,NS,AUSTIN,"Cermak &amp; Austin",Point,CERMAK,"-87.773918","41.85077","21,322",EB,"Cermak &amp; Austin"
-87.7715173,41.945892567,Addison & Menard,,clampToGround,In Service,"12605",,CHICAGO,NS,MENARD,"Addison &amp; Menard",Point,ADDISON,"-87.771517","41.945893","152",WB,"Addison &amp; Menard"
-87.769728,41.792529,55th Street & Mayfield,,clampToGround,In Service,"4580",,CHICAGO,NS,MAYFIELD,"55th Street &amp; Mayfield",Point,55TH STREET,"-87.769728","41.792529","55A,55N",EB,"55th Street &amp; Mayfield"
-87.766798999,41.949439,Central & Grace,,clampToGround,In Service,"11618",,CHICAGO,NS,GRACE,"Central &amp; Grace",Point,CENTRAL,"-87.766799","41.949439","85",NB,"Central &amp; Grace"
-87.821795001,41.945121001,Addison & Ozanam,,clampToGround,In Service,"12471",,CHICAGO,NS,OZANAM,"Addison &amp; Ozanam",Point,ADDISON,"-87.821795","41.945121","152",EB,"Addison &amp; Ozanam"
-87.820249927,42.005248869,Northwest Hwy & Ozark,,clampToGround,In Service,"9924",,CHICAGO,NS,OZARK,"Northwest Hwy &amp; Ozark",Point,NORTHWEST HWY,"-87.82025","42.005249","68",SEB,"Northwest Hwy &amp; Ozark"
-87.822201825,42.00669425,Northwest Hwy & Merrill,,clampToGround,In Service,"9912",,PARK RIDGE,NS,MERRILL,"Northwest Hwy &amp; Merrill",Point,NORTHWEST HWY,"-87.822202","42.006694","68",NWB,"Northwest Hwy &amp; Merrill"
